row,col,word,value
0,0,Ant,1676.7
0,1,Ant,1676.7
0,2,Socks,5161.6
0,3,Socks,5161.6
0,4,Socks,5161.6
0,5,Alligator,1343.5
0,6,Alligator,1343.5
1,0,Snail,3612.5
1,1,Snail,3612.5
1,2,Turtle,5158.5
1,3,Turtle,5158.5
1,4,Turtle,5158.5
1,5,Pen,1548.6
1,6,Pen,1548.6
2,0,Fifth,3613.6
2,1,Fifth,3613.6
2,2,Switch,1978.1
2,3,Switch,1978.1
2,4,Switch,1978.1
2,5,Switch,1978.1
2,6,Knot,2069.5
3,0,Cow,1548.8
3,1,Cow,1548.8
3,2,Egg,3095.3
3,3,Egg,3095.3
3,4,Elephant,1937.2
3,5,Elephant,1937.2
3,6,Elephant,1937.2
4,0,Hen,3122.2
4,1,Hen,3122.2
4,2,Moon,2570.7
4,3,Moon,2570.7
4,4,Moon,2570.7
4,5,House,2332.2
4,6,House,2332.2
5,0,Mango,1712.5
5,1,Mango,1712.5
5,2,Mango,1712.5
5,3,Mat,2581.2
5,4,Mat,2581.2
5,5,Scissors,1809.0
5,6,Scissors,1809.0
6,0,Grape,4127.7
6,1,Grape,4127.7
6,2,Grape,4127.7
6,3,Fog,1809.4
6,4,Fog,1809.4
6,5,Frog,1161.7
6,6,Frog,1161.7
