timestamp,word,row,col,duration_ms,vel_mean,reversals,zero_crossings,difficulty,is_regression,wpm,path_efficiency
1786987341.604,Alligator,0,6,1028.1,0.000,0,0,0.000,0,1.0,1.000
1786987349.848,Ant,0,0,1539.6,0.000,0,0,0.000,0,2.0,1.000
1786987351.908,Alligator,0,6,1026.3,0.000,0,0,1.500,1,3.0,1.000
1786987365.311,Knot,2,6,1550.1,0.645,0,0,0.784,0,4.0,1.000
1786987366.851,Elephant,3,6,1539.2,0.000,0,0,0.000,0,5.0,1.000
1786987368.400,Knot,2,6,1032.4,0.000,0,0,1.500,1,6.0,1.000
1786987373.551,Alligator,0,6,1542.3,0.000,0,0,0.000,1,7.0,1.000
1786987375.617,Ant,0,0,1551.0,0.000,0,0,0.000,1,8.0,1.000
1786987377.677,Ant,0,1,1550.3,0.000,0,0,0.000,1,9.0,1.000
1786987379.736,Socks,0,2,1033.0,0.000,0,0,0.000,0,10.0,1.000
1786987383.347,Snail,1,1,1542.3,0.000,0,0,0.000,0,11.0,1.000
1786987385.921,Socks,0,2,1545.5,0.000,0,0,1.500,1,12.0,1.000
1786987388.496,Socks,0,3,1031.0,0.000,0,0,0.000,1,13.0,1.000
1786987393.135,Turtle,1,3,1030.7,0.000,0,0,0.000,0,14.0,1.000
1786987395.707,Turtle,1,4,1545.6,0.000,0,0,0.000,1,15.0,1.000
1786987397.767,Pen,1,5,1547.8,0.000,0,0,0.000,0,16.0,1.000
1786987398.798,Switch,2,2,1031.4,0.000,0,0,0.000,0,17.0,1.000
1786987408.069,Pen,1,6,2576.7,2.329,0,0,2.899,1,17.0,1.000
1786987409.103,Snail,1,0,1033.3,0.000,0,0,0.000,1,17.0,1.000
1786987410.646,Turtle,1,2,1542.9,0.000,0,0,0.000,1,18.0,1.000
1786987411.682,Pen,1,5,512.6,0.000,0,0,0.000,1,18.0,1.000
1786987412.710,Turtle,1,3,1027.9,0.000,0,0,1.500,1,19.0,1.000
1786987458.033,Alligator,0,6,1545.7,0.000,0,0,0.000,1,6.0,1.000
1786987460.092,Ant,0,0,1546.1,0.000,0,0,0.000,1,7.0,1.000
1786987462.151,Ant,0,1,1542.4,0.000,0,0,0.000,1,8.0,1.000
1786987464.212,Socks,0,2,1545.4,0.000,0,0,0.000,1,9.0,1.000
1786987465.754,Alligator,0,5,1025.4,0.000,0,0,0.000,1,10.0,1.000
1786987466.270,Socks,0,3,1541.4,0.000,0,0,1.500,1,11.0,1.000
1786987468.847,Socks,0,4,2060.6,0.485,0,0,0.653,1,11.0,1.000
1786987470.385,Alligator,0,5,1537.5,0.000,0,0,0.000,1,10.0,1.000
1786987477.602,Alligator,0,5,2064.0,0.484,0,0,0.653,1,9.0,1.000
1786987479.146,Socks,0,4,1543.0,0.648,0,0,0.786,1,10.0,1.000
1786987479.664,Alligator,0,5,516.3,1.937,0,0,2.819,1,11.0,1.000
1786987480.174,Socks,0,4,510.2,1.960,0,0,2.824,1,12.0,1.000
1786987481.210,Alligator,0,5,1034.9,0.000,0,0,1.500,1,13.0,1.000
1786987482.750,Alligator,0,5,1023.3,0.000,0,0,0.000,1,14.0,1.000
1786987483.782,Pen,1,5,514.9,1.942,0,0,1.320,1,15.0,1.000
1786987485.842,Switch,2,5,2058.8,0.000,0,0,0.000,1,16.0,1.000
1786987488.931,Elephant,3,5,2574.0,0.000,0,0,0.000,1,17.0,1.000
1786987493.051,Socks,0,3,515.8,0.000,0,0,0.000,1,18.0,1.000
1786987494.079,Alligator,0,5,1028.2,0.000,0,0,0.000,1,19.0,1.000
1786987496.138,Socks,0,4,1545.3,0.000,0,0,1.500,1,20.0,1.000
1786987498.198,Socks,0,3,1544.9,0.000,0,0,0.000,1,21.0,1.000
1786987503.865,Pen,1,5,1034.0,0.000,0,0,0.000,1,22.0,1.000
1786987506.438,Turtle,1,2,3607.5,0.000,0,0,0.000,1,23.0,1.000
1786987507.988,Pen,1,5,1032.8,0.000,0,0,1.500,1,24.0,1.000
1786987510.562,Turtle,1,2,2058.8,0.000,0,0,1.500,1,25.0,1.000
1786987515.199,Grape,6,2,1026.3,0.000,0,0,0.000,0,26.0,1.000
1786987521.381,Frog,6,6,1027.1,5.842,0,0,1.708,0,25.0,1.000
1786987522.925,Grape,6,0,1543.9,0.000,0,0,1.500,1,25.0,1.000
1786987524.476,Frog,6,6,1033.4,0.000,0,0,1.500,1,25.0,1.000
1786987532.719,Alligator,0,6,2066.0,2.904,0,0,1.488,1,22.0,1.000
1786987534.784,Ant,0,0,2064.6,2.906,0,0,1.488,1,23.0,1.000
1786987536.325,Alligator,0,6,1541.1,0.000,0,0,1.500,1,24.0,1.000
