timestamp,word,row,col,duration_ms,vel_mean,reversals,zero_crossings,difficulty,is_regression,wpm,path_efficiency
1786773422.721,Alligator,0,5,4640.8,0.215,0,0,0.355,0,1.0,1.000
1786773423.236,Mat,5,4,1031.4,0.000,0,0,0.000,0,2.0,1.000
1786773427.357,Socks,0,4,4635.5,0.000,0,0,0.000,0,3.0,1.000
1786773427.357,Alligator,0,6,1031.4,0.000,0,0,0.000,1,4.0,1.000
1786773428.908,Alligator,0,5,1031.1,0.000,0,0,0.000,1,5.0,1.000
1786773431.482,Ant,0,0,518.6,0.000,0,0,0.000,0,6.0,1.000
1786773431.997,Moon,4,3,1034.0,0.000,0,0,0.000,0,7.0,1.000
1786773435.087,Switch,2,2,1032.3,0.000,0,0,0.000,0,8.0,1.000
1786773437.672,Socks,0,3,6189.2,0.323,0,0,0.488,1,9.0,1.000
1786773437.672,Alligator,0,6,1553.6,0.644,0,0,0.783,1,10.0,1.000
1786773440.239,Ant,0,1,2567.1,0.390,0,0,0.561,1,11.0,1.000
1786773440.759,Knot,2,6,518.8,0.000,0,0,0.000,0,12.0,1.000
1786773443.851,Alligator,0,6,3092.2,0.000,0,0,0.000,1,13.0,1.000
1786773443.852,Alligator,0,5,1034.0,0.000,0,0,0.000,1,14.0,1.000
1786773445.911,Frog,6,5,513.9,0.000,0,0,0.000,0,15.0,1.000
1786773447.459,Frog,6,5,1030.2,0.000,0,0,0.000,1,16.0,1.000
1786773448.493,Pen,1,5,2580.4,0.000,0,0,0.000,0,17.0,1.000
1786773448.494,Snail,1,1,1033.7,0.000,0,0,0.000,0,18.0,1.000
1786773454.182,Mango,5,2,533.5,1.875,0,0,1.304,0,19.0,1.000
1786773454.683,Moon,4,2,500.1,0.000,0,0,0.000,1,20.0,1.000
1786773455.193,Turtle,1,4,5153.2,0.582,0,0,0.736,0,21.0,1.000
1786773455.719,Mango,5,1,1035.9,0.000,0,0,0.000,1,22.0,1.000
1786773457.257,Pen,1,5,518.4,0.000,0,0,0.000,1,23.0,1.000
1786773458.287,Snail,1,1,3092.9,2.263,1,0,2.387,1,24.0,0.714
1786773458.287,Mango,5,0,1030.3,0.000,0,0,0.000,1,25.0,1.000
1786773460.353,Pen,1,6,2065.1,0.000,0,0,0.000,1,26.0,1.000
1786773465.503,Scissors,5,5,515.7,1.939,0,0,1.320,0,27.0,1.000
1786773465.504,Elephant,3,5,516.7,1.935,0,0,1.319,0,28.0,1.000
1786773467.046,Frog,6,5,1541.4,0.000,0,0,0.000,1,29.0,1.000
1786773467.566,Switch,2,5,2060.9,0.000,0,0,0.000,1,30.0,1.000
1786773468.082,Mat,5,4,516.0,0.000,0,0,0.000,1,31.0,1.000
1786773470.142,Socks,0,4,2059.3,0.000,0,0,0.000,1,32.0,1.000
1786773471.177,Switch,2,4,3094.4,0.000,0,0,0.000,1,33.0,1.000
1786773473.748,Moon,4,3,515.7,0.000,0,0,0.000,1,34.0,1.000
1786773474.265,Switch,2,5,1032.4,0.000,0,0,1.500,1,35.0,1.000
1786773476.326,Fog,6,3,1033.9,0.000,0,0,0.000,0,36.0,1.000
1786773480.446,Switch,2,3,6697.5,0.149,0,0,1.760,1,37.0,1.000
1786773480.448,Socks,0,2,1536.6,0.000,0,0,0.000,1,38.0,1.000
1786773480.970,Hen,4,1,521.7,0.000,0,0,0.000,0,39.0,1.000
1786773483.036,Ant,0,1,2063.0,0.000,0,0,0.000,1,38.0,1.000
1786773484.591,Fifth,2,1,3618.0,0.000,0,0,0.000,0,39.0,1.000
1786773486.652,Switch,2,5,525.5,0.000,0,0,0.000,1,40.0,1.000
1786773486.652,Cow,3,1,525.5,0.000,0,0,0.000,0,41.0,1.000
1786773487.669,Ant,0,1,1015.5,0.000,0,0,0.000,1,40.0,1.000
1786773488.181,Fifth,2,1,1528.8,0.000,0,0,0.000,1,40.0,1.000
1786773490.758,Cow,3,0,512.9,1.950,0,0,1.322,1,41.0,1.000
1786773490.759,Switch,2,3,513.9,0.000,0,0,0.000,1,42.0,1.000
1786773491.273,Ant,0,0,513.7,0.000,0,0,0.000,1,41.0,1.000
1786773492.820,Mango,5,0,1546.6,0.000,0,0,0.000,1,42.0,1.000
