timestamp,word,row,col,duration_ms,vel_mean,reversals,zero_crossings,difficulty,is_regression,wpm,path_efficiency
1786772559.960,Switch,2,5,1005.8,0.000,0,0,0.000,0,1.0,1.000
1786772573.352,Mat,5,3,1029.9,0.000,0,0,0.000,0,2.0,1.000
1786772584.686,Switch,2,5,512.6,0.000,0,0,1.500,1,3.0,1.000
1786772585.201,Frog,6,5,1028.1,0.000,0,0,0.000,0,4.0,1.000
1786772585.201,Alligator,0,5,514.5,0.000,0,0,0.000,0,5.0,1.000
1786772587.260,Ant,0,1,2058.2,0.000,0,0,0.000,0,6.0,1.000
1786772587.777,Alligator,0,5,2575.7,0.000,0,0,1.500,1,7.0,1.000
1786772604.778,Mango,5,2,1030.8,0.000,0,0,0.000,0,8.0,1.000
1786772605.808,Socks,0,2,1030.2,0.000,0,0,0.000,0,9.0,1.000
1786772607.354,Moon,4,2,1031.4,0.000,0,0,0.000,0,10.0,1.000
1786772607.869,Switch,2,2,5149.4,0.000,0,0,0.000,1,11.0,1.000
1786772613.539,Scissors,5,5,1032.5,0.000,0,0,0.000,0,12.0,1.000
1786772615.595,Scissors,5,5,1025.0,0.000,0,0,0.000,1,13.0,1.000
1786772620.745,Grape,6,1,513.0,0.000,0,0,0.000,0,13.0,1.000
1786772622.288,Frog,6,5,1543.0,0.648,0,0,0.786,1,14.0,1.000
1786772625.896,Grape,6,1,3606.9,0.000,0,0,1.500,1,15.0,1.000
1786772625.897,Frog,6,5,3607.9,1.109,3,0,5.552,1,16.0,0.000
1786772653.193,Alligator,0,6,514.1,0.000,0,0,0.000,1,11.0,1.000
1786772653.710,Knot,2,6,516.3,0.000,0,0,0.000,0,12.0,1.000
1786772656.805,Frog,6,6,4641.7,0.000,0,0,0.000,1,13.0,1.000
1786772656.805,Alligator,0,6,3094.0,0.000,0,0,0.000,1,14.0,1.000
1786772660.925,Frog,6,6,1030.3,0.000,0,0,1.500,1,15.0,1.000
1786772661.952,Knot,2,6,2573.3,0.000,0,0,0.000,1,16.0,1.000
1786772664.528,House,4,6,2061.2,0.000,0,0,0.000,0,16.0,1.000
1786772666.076,Alligator,0,6,1030.3,0.000,0,0,0.000,1,16.0,1.000
1786772667.108,Scissors,5,6,2061.5,0.000,0,0,0.000,1,15.0,1.000
1786772668.139,Knot,2,6,520.0,0.000,0,0,0.000,1,16.0,1.000
1786772669.166,Scissors,5,6,1026.9,0.000,0,0,1.500,1,17.0,1.000
1786772669.687,Alligator,0,6,2067.9,0.484,0,0,0.652,1,18.0,1.000
1786772671.236,Pen,1,6,1548.1,0.646,0,0,0.785,0,19.0,1.000
1786772672.777,Knot,2,6,1540.6,0.649,0,0,0.787,1,20.0,1.000
1786772674.323,Elephant,3,6,1545.1,0.647,0,0,0.786,0,20.0,1.000
1786772674.324,Scissors,5,6,2580.8,0.000,0,0,0.000,1,21.0,1.000
1786772676.382,House,4,6,2058.2,0.486,0,0,0.654,1,21.0,1.000
1786772676.382,Alligator,0,6,2058.2,0.000,0,0,0.000,1,22.0,1.000
1786772676.897,Knot,2,6,514.9,0.000,0,0,0.000,1,23.0,1.000
1786772677.928,Scissors,5,6,1546.0,0.647,0,0,0.786,1,24.0,1.000
1786772677.929,Alligator,0,6,1032.1,0.000,0,0,0.000,1,25.0,1.000
1786772679.989,Frog,6,6,2059.3,0.000,0,0,0.000,1,26.0,1.000
1786772679.989,Alligator,0,6,1548.0,0.000,0,0,1.500,1,27.0,1.000
1786772682.574,Fifth,2,0,523.3,0.000,0,0,0.000,0,26.0,1.000
1786772683.591,Grape,6,0,1540.2,0.649,0,0,0.787,1,27.0,1.000
1786772683.592,Ant,0,0,1017.9,0.000,0,0,0.000,1,28.0,1.000
1786772685.139,Mango,5,0,1547.1,0.646,0,0,0.785,1,27.0,1.000
1786772685.140,Fifth,2,0,1031.6,0.000,0,0,0.000,1,28.0,1.000
1786772686.684,Hen,4,0,1543.9,0.648,0,0,0.786,0,29.0,1.000
1786772686.685,Cow,3,1,518.9,0.000,0,0,0.000,0,30.0,1.000
1786772687.198,Ant,0,0,512.7,0.000,0,0,0.000,1,31.0,1.000
1786772688.744,Cow,3,0,2059.2,0.486,0,0,2.154,1,32.0,1.000
1786772688.745,Mango,5,0,1547.5,0.646,0,0,0.785,1,33.0,1.000
1786772689.772,Grape,6,0,1026.9,0.000,0,0,0.000,1,34.0,1.000
1786772690.284,Fifth,2,0,1538.9,0.650,0,0,0.788,1,35.0,1.000
1786772691.833,Snail,1,0,1543.5,0.648,0,0,0.786,0,36.0,1.000
1786772692.350,Grape,6,0,515.4,0.000,0,0,0.000,1,37.0,1.000
1786772693.378,Hen,4,0,1028.6,0.000,0,0,0.000,1,38.0,1.000
1786772693.892,Ant,0,0,2057.9,0.000,0,0,0.000,1,39.0,1.000
1786772698.012,Frog,6,5,1029.0,0.000,0,0,0.000,1,40.0,1.000
1786772708.831,Frog,6,5,1029.0,0.000,0,0,0.000,1,41.0,1.000
1786772711.406,Frog,6,6,1027.1,0.000,0,0,0.000,1,42.0,1.000
1786772735.618,Grape,6,1,1535.6,0.000,0,0,0.000,1,27.0,1.000
1786772735.618,Frog,6,5,1024.6,0.000,0,0,1.500,1,28.0,1.000
1786772756.743,Frog,6,5,1028.6,0.000,0,0,0.000,1,6.0,1.000
1786772759.320,Grape,6,2,3605.6,0.000,0,0,0.000,1,6.0,1.000
1786772760.865,Switch,2,2,1029.0,0.000,0,0,0.000,1,7.0,1.000
1786772761.894,Mango,5,2,2058.0,0.486,0,0,0.654,1,8.0,1.000
