timestamp,word,row,col,duration_ms,vel_mean,reversals,zero_crossings,difficulty,is_regression,wpm,path_efficiency
1786721254.988,Switch,2,5,1034.7,0.000,0,0,0.000,0,1.0,1.000
1786721255.503,Alligator,0,5,2059.9,0.000,0,0,0.000,0,2.0,1.000
1786721260.143,Scissors,5,6,1029.0,0.000,0,0,0.000,0,3.0,1.000
1786721261.687,Snail,1,1,1021.4,0.000,0,0,0.000,0,4.0,1.000
1786721262.204,Mango,5,1,515.9,0.000,0,0,0.000,0,5.0,1.000
1786721262.715,Snail,1,1,510.8,0.000,0,0,1.500,1,6.0,1.000
1786721263.748,Mango,5,1,1032.4,0.000,0,0,1.500,1,7.0,1.000
1786721264.264,Cow,3,0,2059.0,0.000,0,0,0.000,0,8.0,1.000
1786721273.543,Frog,6,6,520.5,0.000,0,0,0.000,0,9.0,1.000
1786721274.053,Fifth,2,0,510.2,1.960,0,0,1.324,0,10.0,1.000
1786721275.091,Hen,4,0,1547.2,0.646,0,0,0.785,0,11.0,1.000
1786721275.096,Snail,1,0,1041.0,0.961,0,0,0.980,1,12.0,1.000
1786721275.600,Mango,5,0,504.1,1.984,0,0,1.330,1,13.0,1.000
1786721277.667,Grape,6,0,2062.2,0.485,0,0,0.653,0,14.0,1.000
1786721278.172,Mango,5,0,503.0,1.988,0,0,2.831,1,15.0,1.000
1786721279.203,Hen,4,0,1031.4,0.000,0,0,0.000,1,16.0,1.000
1786721280.233,Grape,6,0,507.2,11.830,0,0,1.844,1,17.0,1.000
1786721281.264,Frog,6,6,1030.6,0.000,0,0,0.000,1,18.0,1.000
1786721281.781,Ant,0,0,6683.9,0.000,0,0,0.000,0,19.0,1.000
1786721291.050,House,4,6,517.1,1.934,0,0,1.318,0,20.0,1.000
1786721291.565,Elephant,3,6,513.9,1.946,0,0,1.321,0,21.0,1.000
1786721292.082,House,4,6,516.8,0.000,0,0,1.500,1,22.0,1.000
1786721292.595,Knot,2,6,512.4,0.000,0,0,0.000,0,23.0,1.000
1786721293.110,Alligator,0,6,2576.8,0.388,0,0,0.559,1,24.0,1.000
1786721293.110,House,4,6,514.6,0.000,0,0,0.000,1,25.0,1.000
1786721293.625,Frog,6,6,514.0,0.000,0,0,0.000,1,26.0,1.000
1786721294.658,House,4,6,1033.1,0.968,0,0,2.484,1,27.0,1.000
1786721295.172,Pen,1,6,2062.0,0.485,0,0,0.653,0,28.0,1.000
1786721295.173,Elephant,3,6,513.9,0.000,0,0,0.000,1,29.0,1.000
1786721295.685,Alligator,0,6,512.2,0.000,0,0,0.000,1,30.0,1.000
1786721296.715,Frog,6,6,1029.8,0.000,0,0,0.000,1,31.0,1.000
1786721297.228,Knot,2,6,2055.0,0.000,0,0,0.000,1,32.0,1.000
