row,col,word,value
0,0,Ant,1.4101
0,1,Ant,1.4101
0,2,Socks,1.2181
0,3,Socks,1.2181
0,4,Socks,1.2181
0,5,Alligator,0.9925
0,6,Alligator,0.9925
1,0,Snail,0.3263
1,1,Snail,0.3263
1,2,Turtle,0.1949
1,3,Turtle,0.1949
1,4,Turtle,0.1949
1,5,Pen,0.7949
1,6,Pen,0.7949
2,0,Fifth,0.7854
2,1,Fifth,0.7854
2,2,Switch,1.0434
2,3,Switch,1.0434
2,4,Switch,1.0434
2,5,Switch,1.0434
2,6,Knot,0.0
3,0,Cow,1.0159
3,1,Cow,1.0159
3,2,Egg,0.7129
3,3,Egg,0.7129
3,4,Elephant,0.9904
3,5,Elephant,0.9904
3,6,Elephant,0.9904
4,0,Hen,0.3265
4,1,Hen,0.3265
4,2,Moon,0.6021
4,3,Moon,0.6021
4,4,Moon,0.6021
4,5,House,0.7949
4,6,House,0.7949
5,0,Mango,0.6918
5,1,Mango,0.6918
5,2,Mango,0.6918
5,3,Mat,0.7846
5,4,Mat,0.7846
5,5,Scissors,0.9398
5,6,Scissors,0.9398
6,0,Grape,0.6628
6,1,Grape,0.6628
6,2,Grape,0.6628
6,3,Fog,0.3922
6,4,Fog,0.3922
6,5,Frog,1.1976
6,6,Frog,1.1976
