row,col,word,value
0,0,Ant,2
0,1,Ant,2
0,2,Socks,3
0,3,Socks,3
0,4,Socks,3
0,5,Alligator,4
0,6,Alligator,4
1,0,Snail,2
1,1,Snail,2
1,2,Turtle,2
1,3,Turtle,2
1,4,Turtle,2
1,5,Pen,2
1,6,Pen,2
2,0,Fifth,1
2,1,Fifth,1
2,2,Switch,2
2,3,Switch,2
2,4,Switch,2
2,5,Switch,2
2,6,Knot,1
3,0,Cow,2
3,1,Cow,2
3,2,Egg,1
3,3,Egg,1
3,4,Elephant,2
3,5,Elephant,2
3,6,Elephant,2
4,0,Hen,2
4,1,Hen,2
4,2,Moon,1
4,3,Moon,1
4,4,Moon,1
4,5,House,2
4,6,House,2
5,0,Mango,1
5,1,Mango,1
5,2,Mango,1
5,3,Mat,1
5,4,Mat,1
5,5,Scissors,3
5,6,Scissors,3
6,0,Grape,3
6,1,Grape,3
6,2,Grape,3
6,3,Fog,2
6,4,Fog,2
6,5,Frog,5
6,6,Frog,5
